year,age,gender,occupation,stop_daily_activities,social_use,depressed,sleep_issues,source
2021,14,Female,School Student,Yes,More than 5 hours,Always,Yes,YRBS21
2021,16,Female,School Student,Yes,Between 3 and 4 hours,Sometimes,No,YRBS21
2021,17,Female,School Student,No,More than 5 hours,Never,No,YRBS21
2021,14,Female,School Student,No,More than 5 hours,Sometimes,No,YRBS21
2021,17,Female,School Student,No,Less than an Hour,Never,No,YRBS21
2021,16,Female,School Student,Yes,More than 5 hours,Most of the time,No,YRBS21
2021,18,Female,School Student,Yes,Between 3 and 4 hours,Most of the time,No,YRBS21
2021,17,Female,School Student,No,Between 3 and 4 hours,Rarely,No,YRBS21
2021,18,Female,School Student,Yes,More than 5 hours,Most of the time,No,YRBS21
2021,17,Male,School Student,No,Less than an Hour,Most of the time,Yes,YRBS21
2021,15,Female,School Student,No,Between 3 and 4 hours,Never,No,YRBS21
2021,17,Male,School Student,No,Between 3 and 4 hours,Rarely,No,YRBS21
2021,15,Female,School Student,No,More than 5 hours,Sometimes,No,YRBS21
2021,15,Female,School Student,No,More than 5 hours,Rarely,No,YRBS21
2021,16,Female,School Student,Yes,More than 5 hours,Sometimes,No,YRBS21
2021,17,Female,School Student,No,Between 3 and 4 hours,Rarely,No,YRBS21
2021,15,Male,School Student,No,More than 5 hours,Never,No,YRBS21
2021,14,Female,School Student,Yes,More than 5 hours,Sometimes,No,YRBS21
2021,15,Male,School Student,No,More than 5 hours,Never,No,YRBS21
2021,14,Female,School Student,No,More than 5 hours,Sometimes,No,YRBS21
2021,15,Male,School Student,No,Between 3 and 4 hours,Never,No,YRBS21
2021,14,Male,School Student,No,Between 3 and 4 hours,Never,Yes,YRBS21
2021,15,Female,School Student,No,More than 5 hours,Rarely,No,YRBS21
2021,14,Male,School Student,No,More than 5 hours,Most of the time,No,YRBS21
2021,14,Female,School Student,No,Between 3 and 4 hours,Never,No,YRBS21
2021,14,Male,School Student,No,Between 3 and 4 hours,Rarely,Yes,YRBS21
2021,14,Male,School Student,No,More than 5 hours,Always,No,YRBS21
2021,15,Female,School Student,No,More than 5 hours,Never,No,YRBS21
2021,15,Female,School Student,Yes,More than 5 hours,Always,Yes,YRBS21
2021,14,Female,School Student,Yes,More than 5 hours,Sometimes,No,YRBS21
2021,14,Male,School Student,No,Between 1 and 2 hours,Sometimes,No,YRBS21
2021,14,Female,School Student,Yes,Between 3 and 4 hours,Most of the time,No,YRBS21
2021,15,Male,School Student,Yes,More than 5 hours,Always,No,YRBS21
2021,14,Male,School Student,Yes,Between 2 and 3 hours,Sometimes,Yes,YRBS21
2021,14,Male,School Student,No,Less than an Hour,Never,No,YRBS21
2021,15,Female,School Student,No,Between 3 and 4 hours,Sometimes,No,YRBS21
2021,14,Female,School Student,Yes,More than 5 hours,Sometimes,Yes,YRBS21
2021,15,Female,School Student,Yes,Between 3 and 4 hours,Most of the time,Yes,YRBS21
2021,14,Male,School Student,No,Between 1 and 2 hours,Rarely,No,YRBS21
2021,15,Female,School Student,Yes,More than 5 hours,Sometimes,Yes,YRBS21
2021,15,Male,School Student,No,Less than an Hour,Never,No,YRBS21
2021,14,Male,School Student,No,More than 5 hours,Never,Yes,YRBS21
2021,14,Male,School Student,No,More than 5 hours,Never,No,YRBS21
2021,15,Male,School Student,No,More than 5 hours,Never,Yes,YRBS21
2021,15,Female,School Student,Yes,More than 5 hours,Never,Yes,YRBS21
2021,15,Female,School Student,Yes,Between 3 and 4 hours,Sometimes,No,YRBS21
2021,14,Male,School Student,Yes,Between 2 and 3 hours,Most of the time,Yes,YRBS21
2021,14,Male,School Student,No,Between 2 and 3 hours,Rarely,No,YRBS21
2021,14,Female,School Student,No,More than 5 hours,Rarely,Yes,YRBS21
2021,14,Female,School Student,No,More than 5 hours,Sometimes,No,YRBS21
2021,14,Male,School Student,No,More than 5 hours,Never,Yes,YRBS21
2021,14,Female,School Student,Yes,Between 3 and 4 hours,Most of the time,No,YRBS21
2021,14,Female,School Student,Yes,More than 5 hours,Most of the time,Yes,YRBS21
2021,15,Female,School Student,Yes,More than 5 hours,Always,Yes,YRBS21
2021,15,Female,School Student,No,Between 3 and 4 hours,Never,Yes,YRBS21
2021,14,Female,School Student,Yes,Between 2 and 3 hours,Most of the time,No,YRBS21
2021,14,Male,School Student,No,Between 3 and 4 hours,Most of the time,No,YRBS21
2021,15,Female,School Student,No,Between 3 and 4 hours,Sometimes,No,YRBS21
2021,14,Male,School Student,No,Between 3 and 4 hours,Sometimes,No,YRBS21
2021,14,Female,School Student,No,Between 3 and 4 hours,Sometimes,No,YRBS21
2021,15,Female,School Student,Yes,Between 3 and 4 hours,Always,Yes,YRBS21
2021,14,Female,School Student,Yes,Between 3 and 4 hours,Most of the time,No,YRBS21
2021,15,Male,School Student,No,More than 5 hours,Sometimes,No,YRBS21
2021,14,Female,School Student,No,Between 3 and 4 hours,Sometimes,No,YRBS21
2021,14,Male,School Student,Yes,More than 5 hours,Sometimes,No,YRBS21
2021,14,Female,School Student,No,Between 3 and 4 hours,Sometimes,No,YRBS21
2021,14,Female,School Student,No,Between 3 and 4 hours,Sometimes,No,YRBS21
2021,14,Male,School Student,Yes,Between 3 and 4 hours,Sometimes,No,YRBS21
2021,14,Female,School Student,No,Between 3 and 4 hours,Sometimes,No,YRBS21
2021,15,Male,School Student,No,More than 5 hours,Sometimes,No,YRBS21
2021,14,Male,School Student,Yes,More than 5 hours,Sometimes,No,YRBS21
2021,15,Female,School Student,No,Between 3 and 4 hours,Most of the time,No,YRBS21
2021,14,Female,School Student,Yes,Between 3 and 4 hours,Most of the time,No,YRBS21
2021,14,Male,School Student,No,Between 3 and 4 hours,Sometimes,No,YRBS21
2021,14,Female,School Student,No,Between 3 and 4 hours,Sometimes,Yes,YRBS21
2021,14,Female,School Student,Yes,More than 5 hours,Most of the time,Yes,YRBS21
2021,17,Female,School Student,No,Between 3 and 4 hours,Rarely,No,YRBS21
2021,15,Male,School Student,No,Between 3 and 4 hours,Rarely,No,YRBS21
2021,15,Male,School Student,No,More than 5 hours,Rarely,No,YRBS21
2021,15,Female,School Student,No,More than 5 hours,Sometimes,No,YRBS21
2021,15,Male,School Student,No,More than 5 hours,Sometimes,No,YRBS21
2021,15,Female,School Student,Yes,More than 5 hours,Most of the time,No,YRBS21
2021,16,Male,School Student,Yes,More than 5 hours,Most of the time,No,YRBS21
2021,16,Female,School Student,Yes,More than 5 hours,Always,No,YRBS21
2021,15,Male,School Student,No,More than 5 hours,Sometimes,No,YRBS21
2021,16,Female,School Student,No,Between 3 and 4 hours,Most of the time,No,YRBS21
2021,15,Male,School Student,No,More than 5 hours,Most of the time,No,YRBS21
2021,15,Male,School Student,No,More than 5 hours,Sometimes,No,YRBS21
2021,16,Male,School Student,No,More than 5 hours,Rarely,No,YRBS21
2021,15,Male,School Student,Yes,More than 5 hours,Always,Yes,YRBS21
2021,15,Female,School Student,No,More than 5 hours,Sometimes,No,YRBS21
2021,16,Female,School Student,No,More than 5 hours,Sometimes,No,YRBS21
2021,15,Female,School Student,No,Between 2 and 3 hours,Rarely,No,YRBS21
2021,15,Male,School Student,Yes,More than 5 hours,Most of the time,No,YRBS21
2021,18,Male,School Student,No,Between 3 and 4 hours,Never,Yes,YRBS21
2021,17,Male,School Student,No,Between 3 and 4 hours,Never,Yes,YRBS21
2021,18,Male,School Student,Yes,More than 5 hours,Sometimes,No,YRBS21
2021,17,Female,School Student,Yes,More than 5 hours,Sometimes,No,YRBS21
2021,17,Female,School Student,No,Between 3 and 4 hours,Rarely,No,YRBS21
2021,17,Male,School Student,No,Between 1 and 2 hours,Never,Yes,YRBS21
2021,18,Male,School Student,No,Less than an Hour,Never,Yes,YRBS21
2021,18,Female,School Student,No,More than 5 hours,Never,No,YRBS21
2021,17,Male,School Student,No,Between 3 and 4 hours,Rarely,Yes,YRBS21
2021,18,Male,School Student,No,Less than an Hour,Most of the time,No,YRBS21
2021,17,Male,School Student,No,Between 3 and 4 hours,Never,No,YRBS21
2021,17,Male,School Student,Yes,Between 1 and 2 hours,Never,No,YRBS21
2021,18,Male,School Student,Yes,More than 5 hours,Sometimes,Yes,YRBS21
2021,17,Female,School Student,Yes,More than 5 hours,Most of the time,Yes,YRBS21
2021,18,Male,School Student,Yes,Between 2 and 3 hours,Sometimes,No,YRBS21
2021,18,Male,School Student,Yes,More than 5 hours,Most of the time,No,YRBS21
2021,14,Male,School Student,No,More than 5 hours,Sometimes,Yes,YRBS21
2021,15,Female,School Student,Yes,Between 3 and 4 hours,Most of the time,Yes,YRBS21
2021,15,Male,School Student,No,Between 3 and 4 hours,Never,Yes,YRBS21
2021,14,Female,School Student,No,Between 2 and 3 hours,Rarely,Yes,YRBS21
2021,15,Male,School Student,Yes,More than 5 hours,Rarely,Yes,YRBS21
2021,15,Female,School Student,No,More than 5 hours,Sometimes,Yes,YRBS21
2021,15,Female,School Student,No,Between 2 and 3 hours,Most of the time,Yes,YRBS21
2021,15,Female,School Student,No,More than 5 hours,Rarely,Yes,YRBS21
2021,14,Female,School Student,Yes,More than 5 hours,Sometimes,No,YRBS21
2021,14,Male,School Student,No,Between 2 and 3 hours,Never,No,YRBS21
2021,16,Female,School Student,No,Less than an Hour,Always,No,YRBS21
2021,16,Female,School Student,Yes,Between 3 and 4 hours,Sometimes,No,YRBS21
2021,15,Female,School Student,Yes,More than 5 hours,Always,Yes,YRBS21
2021,17,Female,School Student,No,More than 5 hours,Most of the time,No,YRBS21
2021,16,Female,School Student,No,More than 5 hours,Sometimes,No,YRBS21
2021,16,Male,School Student,No,Between 2 and 3 hours,Never,No,YRBS21
2021,16,Male,School Student,No,More than 5 hours,Sometimes,No,YRBS21
2021,17,Female,School Student,Yes,Between 2 and 3 hours,Most of the time,Yes,YRBS21
2021,16,Male,School Student,No,Between 3 and 4 hours,Sometimes,No,YRBS21
2021,17,Female,School Student,Yes,Between 3 and 4 hours,Most of the time,Yes,YRBS21
2021,17,Female,School Student,Yes,More than 5 hours,Always,No,YRBS21
2021,16,Male,School Student,No,More than 5 hours,Sometimes,Yes,YRBS21
2021,16,Male,School Student,No,More than 5 hours,Sometimes,No,YRBS21
2021,16,Male,School Student,No,Between 3 and 4 hours,Sometimes,Yes,YRBS21
2021,16,Female,School Student,No,More than 5 hours,Most of the time,No,YRBS21
2021,14,Female,School Student,No,More than 5 hours,Rarely,Yes,YRBS21
2021,16,Male,School Student,No,Less than an Hour,Never,No,YRBS21
2021,14,Male,School Student,No,Between 2 and 3 hours,Never,No,YRBS21
2021,16,Male,School Student,No,Between 3 and 4 hours,Rarely,No,YRBS21
2021,14,Female,School Student,No,Between 3 and 4 hours,Rarely,No,YRBS21
2021,14,Male,School Student,No,Less than an Hour,Never,Yes,YRBS21
2021,16,Male,School Student,No,Less than an Hour,Never,Yes,YRBS21
2021,14,Female,School Student,No,Between 3 and 4 hours,Most of the time,No,YRBS21
2021,15,Female,School Student,Yes,More than 5 hours,Always,Yes,YRBS21
2021,15,Male,School Student,No,Between 3 and 4 hours,Rarely,No,YRBS21
2021,17,Female,School Student,Yes,Between 2 and 3 hours,Most of the time,No,YRBS21
2021,16,Male,School Student,No,Less than an Hour,Never,Yes,YRBS21
2021,16,Male,School Student,No,Between 3 and 4 hours,Sometimes,No,YRBS21
2021,14,Female,School Student,Yes,Between 3 and 4 hours,Most of the time,No,YRBS21
2021,18,Female,School Student,Yes,Between 3 and 4 hours,Most of the time,No,YRBS21
2021,16,Female,School Student,No,Between 2 and 3 hours,Rarely,No,YRBS21
2021,16,Male,School Student,No,Between 3 and 4 hours,Sometimes,No,YRBS21
2021,17,Male,School Student,Yes,More than 5 hours,Always,Yes,YRBS21
2021,17,Male,School Student,No,More than 5 hours,Never,No,YRBS21
2021,16,Female,School Student,No,Between 3 and 4 hours,Sometimes,No,YRBS21
2021,17,Male,School Student,No,More than 5 hours,Rarely,Yes,YRBS21
2021,15,Female,School Student,Yes,Between 2 and 3 hours,Always,Yes,YRBS21
2021,15,Male,School Student,No,Less than an Hour,Rarely,No,YRBS21
2021,15,Male,School Student,No,Between 2 and 3 hours,Sometimes,Yes,YRBS21
2021,17,Male,School Student,No,Between 3 and 4 hours,Sometimes,Yes,YRBS21
2021,16,Male,School Student,No,Between 3 and 4 hours,Rarely,No,YRBS21
2021,15,Female,School Student,No,More than 5 hours,Sometimes,No,YRBS21
2021,14,Male,School Student,No,Between 3 and 4 hours,Always,Yes,YRBS21
2021,16,Male,School Student,Yes,More than 5 hours,Most of the time,Yes,YRBS21
2021,14,Male,School Student,No,More than 5 hours,Rarely,No,YRBS21
2021,16,Male,School Student,Yes,Between 3 and 4 hours,Most of the time,Yes,YRBS21
2021,15,Male,School Student,No,Less than an Hour,Never,Yes,YRBS21
2021,15,Female,School Student,No,More than 5 hours,Never,No,YRBS21
2021,14,Male,School Student,Yes,Between 3 and 4 hours,Sometimes,No,YRBS21
2021,15,Female,School Student,No,Between 3 and 4 hours,Rarely,No,YRBS21
2021,17,Male,School Student,No,Less than an Hour,Never,Yes,YRBS21
2021,16,Male,School Student,No,Between 2 and 3 hours,Never,Yes,YRBS21
2021,17,Female,School Student,Yes,Less than an Hour,Most of the time,Yes,YRBS21
2021,17,Female,School Student,Yes,More than 5 hours,Always,Yes,YRBS21
2021,14,Female,School Student,Yes,More than 5 hours,Most of the time,No,YRBS21
2021,16,Male,School Student,No,Between 2 and 3 hours,Never,Yes,YRBS21
2021,16,Female,School Student,Yes,More than 5 hours,Rarely,No,YRBS21
2021,16,Male,School Student,No,More than 5 hours,Sometimes,No,YRBS21
2021,14,Male,School Student,No,Between 3 and 4 hours,Never,No,YRBS21
2021,17,Male,School Student,No,Less than an Hour,Most of the time,Yes,YRBS21
2021,17,Female,School Student,Yes,Between 2 and 3 hours,Never,Yes,YRBS21
2021,15,Male,School Student,No,Between 1 and 2 hours,Never,Yes,YRBS21
2021,17,Male,School Student,No,Between 3 and 4 hours,Never,No,YRBS21
2021,16,Female,School Student,Yes,Between 3 and 4 hours,Rarely,No,YRBS21
2021,15,Female,School Student,Yes,Between 3 and 4 hours,Sometimes,No,YRBS21
2021,17,Male,School Student,No,Less than an Hour,Rarely,No,YRBS21
2021,16,Male,School Student,No,Less than an Hour,Never,No,YRBS21
2021,17,Male,School Student,No,More than 5 hours,Rarely,Yes,YRBS21
2021,16,Male,School Student,No,More than 5 hours,Most of the time,Yes,YRBS21
2021,17,Male,School Student,No,Between 2 and 3 hours,Sometimes,No,YRBS21
2021,17,Male,School Student,Yes,Between 3 and 4 hours,Most of the time,No,YRBS21
2021,15,Female,School Student,Yes,More than 5 hours,Always,No,YRBS21
2021,17,Female,School Student,No,Between 2 and 3 hours,Never,Yes,YRBS21
2021,15,Male,School Student,Yes,Less than an Hour,Never,Yes,YRBS21
2021,15,Male,School Student,Yes,Between 3 and 4 hours,Most of the time,No,YRBS21
2021,17,Male,School Student,No,Between 2 and 3 hours,Never,No,YRBS21
2021,15,Male,School Student,Yes,More than 5 hours,Sometimes,No,YRBS21
2021,17,Male,School Student,No,More than 5 hours,Always,Yes,YRBS21
2021,15,Male,School Student,No,Between 3 and 4 hours,Sometimes,Yes,YRBS21
2021,16,Female,School Student,No,More than 5 hours,Always,Yes,YRBS21
2021,15,Female,School Student,No,Between 3 and 4 hours,Sometimes,No,YRBS21
2021,15,Male,School Student,No,More than 5 hours,Never,No,YRBS21
2021,16,Female,School Student,Yes,More than 5 hours,Sometimes,Yes,YRBS21
2021,17,Male,School Student,Yes,Between 2 and 3 hours,Sometimes,Yes,YRBS21
2021,16,Male,School Student,Yes,Between 3 and 4 hours,Sometimes,No,YRBS21
2021,16,Male,School Student,Yes,Between 3 and 4 hours,Most of the time,Yes,YRBS21
2021,14,Male,School Student,No,More than 5 hours,Rarely,Yes,YRBS21
2021,14,Male,School Student,No,Between 3 and 4 hours,Sometimes,No,YRBS21
2021,15,Male,School Student,No,More than 5 hours,Most of the time,No,YRBS21
2021,15,Male,School Student,Yes,Between 3 and 4 hours,Most of the time,Yes,YRBS21
2021,15,Female,School Student,No,Between 3 and 4 hours,Sometimes,Yes,YRBS21
2021,14,Male,School Student,No,More than 5 hours,Rarely,No,YRBS21
2021,15,Female,School Student,No,More than 5 hours,Sometimes,Yes,YRBS21
2021,16,Female,School Student,No,More than 5 hours,Sometimes,No,YRBS21
2021,14,Male,School Student,No,Between 1 and 2 hours,Never,Yes,YRBS21
2021,14,Female,School Student,No,More than 5 hours,Rarely,Yes,YRBS21
2021,15,Male,School Student,No,More than 5 hours,Sometimes,No,YRBS21
2021,15,Male,School Student,Yes,Between 2 and 3 hours,Sometimes,No,YRBS21
2021,15,Female,School Student,Yes,More than 5 hours,Sometimes,No,YRBS21
2021,16,Female,School Student,No,Between 1 and 2 hours,Sometimes,No,YRBS21
2021,14,Female,School Student,No,Between 3 and 4 hours,Most of the time,No,YRBS21
2021,15,Female,School Student,Yes,More than 5 hours,Most of the time,No,YRBS21
2021,14,Female,School Student,Yes,Between 3 and 4 hours,Always,Yes,YRBS21
2021,14,Male,School Student,No,Less than an Hour,Rarely,Yes,YRBS21
2021,15,Female,School Student,No,More than 5 hours,Sometimes,No,YRBS21
2021,15,Female,School Student,Yes,More than 5 hours,Most of the time,No,YRBS21
2021,14,Female,School Student,No,More than 5 hours,Rarely,Yes,YRBS21
2021,15,Female,School Student,No,Less than an Hour,Never,No,YRBS21
2021,15,Male,School Student,No,Between 3 and 4 hours,Rarely,No,YRBS21
2021,14,Male,School Student,No,Between 3 and 4 hours,Rarely,No,YRBS21
2021,17,Male,School Student,No,More than 5 hours,Rarely,No,YRBS21
2021,15,Male,School Student,No,More than 5 hours,Sometimes,Yes,YRBS21
2021,14,Male,School Student,No,More than 5 hours,Rarely,No,YRBS21
2021,14,Male,School Student,No,Between 3 and 4 hours,Always,No,YRBS21
2021,14,Female,School Student,No,More than 5 hours,Rarely,Yes,YRBS21
2021,14,Male,School Student,No,Between 3 and 4 hours,Sometimes,Yes,YRBS21
2021,14,Male,School Student,Yes,Between 1 and 2 hours,Rarely,No,YRBS21
2021,14,Male,School Student,No,Between 3 and 4 hours,Rarely,No,YRBS21
2021,15,Male,School Student,No,Between 3 and 4 hours,Never,No,YRBS21
2021,14,Female,School Student,No,More than 5 hours,Most of the time,No,YRBS21
2021,15,Female,School Student,No,Between 1 and 2 hours,Never,No,YRBS21
2021,17,Female,School Student,No,Between 3 and 4 hours,Sometimes,Yes,YRBS21
2021,17,Female,School Student,Yes,Between 3 and 4 hours,Most of the time,Yes,YRBS21
2021,17,Male,School Student,No,More than 5 hours,Rarely,No,YRBS21
2021,17,Male,School Student,Yes,More than 5 hours,Always,No,YRBS21
2021,17,Male,School Student,No,Between 2 and 3 hours,Never,No,YRBS21
2021,15,Male,School Student,No,More than 5 hours,Never,Yes,YRBS21
2021,17,Female,School Student,Yes,More than 5 hours,Most of the time,No,YRBS21
2021,17,Male,School Student,No,Between 3 and 4 hours,Never,No,YRBS21
2021,16,Female,School Student,Yes,More than 5 hours,Sometimes,No,YRBS21
2021,15,Female,School Student,No,Between 3 and 4 hours,Never,No,YRBS21
2021,17,Male,School Student,No,More than 5 hours,Rarely,No,YRBS21
2021,17,Male,School Student,No,More than 5 hours,Never,No,YRBS21
2021,16,Female,School Student,Yes,More than 5 hours,Most of the time,No,YRBS21
2021,15,Male,School Student,Yes,Between 3 and 4 hours,Most of the time,Yes,YRBS21
2021,17,Female,School Student,Yes,More than 5 hours,Sometimes,Yes,YRBS21
2021,18,Male,School Student,No,More than 5 hours,Rarely,No,YRBS21
2021,17,Male,School Student,Yes,More than 5 hours,Always,No,YRBS21
2021,16,Male,School Student,No,More than 5 hours,Never,No,YRBS21
2021,17,Female,School Student,Yes,More than 5 hours,Most of the time,No,YRBS21
